movieId,ml_title,ml_year,ml_genres,douban_url,douban_genres,douban_country,douban_rating,douban_votes
1,Toy Story,1995,Animation|Children's|Comedy,https://movie.douban.com/subject/1291575/,喜剧 / 动画 / 家庭,美国,8.6,422721.0
2,Jumanji,1995,Adventure|Children's|Fantasy,https://movie.douban.com/subject/1294990/,动作 / 奇幻 / 冒险,美国,8.2,144497.0
6,Heat,1995,Action|Crime|Thriller,https://movie.douban.com/subject/1295686/,剧情 / 动作 / 惊悚 / 犯罪,美国,8.5,148280.0
10,GoldenEye,1995,Action|Adventure|Thriller,https://movie.douban.com/subject/1292677/,动作 / 惊悚 / 冒险,英国 / 美国,7.6,51222.0
11,"American President, The",1995,Comedy|Drama|Romance,https://movie.douban.com/subject/1293740/,剧情 / 喜剧 / 爱情,美国,6.8,2759.0
16,Casino,1995,Drama|Thriller,https://movie.douban.com/subject/1299799/,剧情 / 传记 / 犯罪,美国 / 法国,8.3,56011.0
17,Sense and Sensibility,1995,Drama|Romance,https://movie.douban.com/subject/1299193/,剧情 / 爱情,美国 / 英国,8.4,158407.0
21,Get Shorty,1995,Action|Comedy|Drama,https://movie.douban.com/subject/1293335/,喜剧 / 惊悚 / 犯罪,美国,7.2,5328.0
24,Powder,1995,Drama|Sci-Fi,https://movie.douban.com/subject/1300549/,剧情 / 奇幻,美国,8.1,11289.0
25,Leaving Las Vegas,1995,Drama|Romance,https://movie.douban.com/subject/1293596/,剧情 / 爱情,美国,8.0,39346.0
32,Twelve Monkeys,1995,Drama|Sci-Fi,https://movie.douban.com/subject/1298744/,科幻 / 悬疑 / 惊悚,美国,8.2,254574.0
34,Babe,1995,Children's|Comedy|Drama,https://movie.douban.com/subject/1292765/,剧情 / 喜剧,澳大利亚 / 美国,8.2,18374.0
36,Dead Man Walking,1995,Drama,https://movie.douban.com/subject/1292703/,剧情 / 犯罪,英国 / 美国,7.8,10223.0
39,Clueless,1995,Comedy|Romance,https://movie.douban.com/subject/1295295/,喜剧 / 爱情,美国,7.7,49162.0
47,Seven (Se7en),1995,Crime|Thriller,https://movie.douban.com/subject/1292223/,剧情 / 悬疑 / 惊悚 / 犯罪,美国,8.8,1049048.0
50,"Usual Suspects, The",1995,Crime|Thriller,https://movie.douban.com/subject/1292214/,悬疑 / 惊悚 / 犯罪,德国 / 美国,8.6,286676.0
70,From Dusk Till Dawn,1996,Action|Comedy|Crime|Horror|Thriller,https://movie.douban.com/subject/1301409/,动作 / 恐怖 / 犯罪,美国,7.5,72851.0
95,Broken Arrow,1996,Action|Thriller,https://movie.douban.com/subject/1293317/,动作 / 惊悚 / 犯罪,美国,7.3,46994.0
104,Happy Gilmore,1996,Comedy,https://movie.douban.com/subject/1292647/,喜剧 / 运动,美国,6.7,3054.0
110,Braveheart,1995,Action|Drama|War,https://movie.douban.com/subject/1294639/,剧情 / 动作 / 传记 / 历史 / 战争,美国,8.9,601238.0
111,Taxi Driver,1976,Drama|Thriller,https://movie.douban.com/subject/1292222/,剧情 / 犯罪,美国,8.6,249971.0
141,"Birdcage, The",1996,Comedy,https://movie.douban.com/subject/1300331/,喜剧 / 同性,美国,7.9,2128.0
150,Apollo 13,1995,Drama,https://movie.douban.com/subject/1293785/,剧情 / 历史 / 冒险,美国,8.1,39416.0
153,Batman Forever,1995,Action|Adventure|Comedy|Crime,https://movie.douban.com/subject/1295638/,动作 / 冒险,美国 / 英国,6.7,34397.0
161,Crimson Tide,1995,Drama|Thriller|War,https://movie.douban.com/subject/1295363/,剧情 / 动作 / 惊悚,美国,8.1,15581.0
165,Die Hard: With a Vengeance,1995,Action|Thriller,https://movie.douban.com/subject/1299837/,动作 / 惊悚 / 冒险,美国,7.9,60302.0
198,Strange Days,1995,Action|Crime|Sci-Fi,https://movie.douban.com/subject/1293932/,剧情 / 科幻 / 惊悚 / 犯罪,美国,7.2,4743.0
208,Waterworld,1995,Action|Adventure,https://movie.douban.com/subject/1294037/,动作 / 科幻 / 惊悚 / 冒险,美国,7.6,93331.0
223,Clerks,1994,Comedy,https://movie.douban.com/subject/1298320/,喜剧,美国,8.1,24012.0
231,Dumb & Dumber,1994,Comedy,https://movie.douban.com/subject/1296454/,喜剧,美国,7.4,48770.0
235,Ed Wood,1994,Comedy|Drama,https://movie.douban.com/subject/1293683/,剧情 / 喜剧 / 传记,美国,8.2,27698.0
246,Hoop Dreams,1994,Documentary,https://movie.douban.com/subject/1297797/,剧情 / 纪录片 / 运动,美国,8.6,2013.0
